118;Menüpunkt wurde hinzugefügt;L'indice è stato aggiunto;Index du menu a été ajouté
119;Zeit;Tempo;Temps
120;Raum;Sala;Salle
121;Lehrer;Insegnante;Enseignant-e
122;Termin löschen;Cancellare colloquio;Effacer rendez-vous
123;Keine Einträge;Nessuna iscrizione;Aucune inscription  
124;üK;Corsi interaziendali;Cours interentreprises
125;ÜK-Titel;Titolo dei corsi interaziendali;Titre des cours interentreprises
126;Leistung Informatik;Prestazioni informatiche;Prestations informatique
127;Notenschnitt Informatik-Module und üK;Media dei voti dei moduli informatici e corsi interaziendali;Moyenne des notes Module Informatique et CIE
128;Fachvorträge;Rami presentati;Branches exposées
129;Leistung Schule;Prestazione scuola;Prestations école
130;Notenschnitt Schulfächer;Media dei voti rami scolastici;Moyenne des notes branches scolaires
131;Verhalten Betrieb;Comportamento in azienda;Comportement en entreprise
132;Leistungslohn anhand aktueller Werte;Salario alla performance secondo i valori attuali;Salaire à la performance selon les valeurs actuelles
133;Daten Semester;Voti del semestre;Notes du semestre
135;Leistung Betrieb;Performance in azienda;Performance en entreprise
136;Keine Benutzer-ID vorhanden;Nessun utente-ID disponibile;Aucun utilisateur-ID disponible
137;Du hast keinen Zugriff auf diese Funktionen.;Nessun accesso alle funzioni;Aucun accès à ces fonctions
138;Sprache wurde angepasst;La lingua è stata adattata;La langue a été adaptée
139;Sprache anpassen;Adattare lingua;Adapter langue
140;Deutsch;Tedesco;Allemand
141;Italienisch;Italiano;Italien
142;Französisch;Francese;Français
143;Ändern;Modificare;Modifier  
144;Neuer Termin;Nuovo colloquio;Nouveau rendez-vous
145;Du hast keine Berechtigungen zu diesem Modul.;Nessuna autorizzazione per questo modulo;Aucune autorisation pour ce module
146;Bitte eine Begründung angeben.;Pregasi aggiungere giustificazione;Veuillez ajouter une justification
147;Beanstandung abgeschickt;Reclamazione inviata;Réclamation envoyée
148;Löschen bestätigen;Confermare la cancellazione;Confirmer la suppression
149;Beanstandung abgeschickt & Eintrag gelöscht;Reclamazione inviata & Iscrizione cancellata;Réclamation envoyée & Inscription supprimée
150;Bitte ein Semester angeben.;Pregasi indicare il semestre;Prière d'indiquer un semestre
151;Bitte einen ALS-Titel angeben.;Pregasi indicare il titolo della SAL;Prière d'indiquer un Titre-STA
152;Bitte eine Punktzahl angeben.;Pregasi indicare il punteggio;Prière d'indiquer le nombre de points
153;Der B-Key muss aus 7 Zeichen bestehen.;Il B-Key deve comprendere 7 caratteri;Le B-Key doit comprendre 7 caractères
154;Bitte Gruppe auswählen.;Pregasi scegliere un gruppo;Veuillez choisir un groupe
155;Seite enthält keinen gültigen Pfad;La pagina non contiene nessun accesso valido;La page ne contient aucun chemin d'accès valide
156;Seite wurde noch nicht verlinkt;Un legame verso la pagina non'è stato ancora creato;Un lien vers la page n'a pas encore été créé
157;Fehler: Keine/leere Antwort erhalten;Errore : nessuna risposta/risposta vuota;Erreur: Aucune réponse/réponse vide
158;Fehler: Semester konnten nicht gefunden werden;Errore : il semestre non è stato trovato;Erreur:le semestre n'a pas pu être trouvé
159;Bitte einen Malus-Titel angeben.;Pregasi indicare un titolo di Malus;Prière d'indiquer un titre de Malus
160;Bitte eine Gewichtung angeben.;Pregasi indicare un valore di ponderazione;Prière d'indiquer une valeur de pondération
161;Kein Eintrag angegeben;Nessuna iscrizione;Aucune inscription
162;Bist du dir sicher? Dabei werden alle Noten gelöscht.;Sicuro? Tutti i dati verranno cancellati;Sûr ? Toutes les notes seront effacées
163;Kein Fach angegeben;Nessun ramo indicato;Aucune branche indiquée
164;Klasse speichern;Registrare classe;Sauvegarder classe
165;Klasse gespeichert;Classe registrata;Classe sauvegardée
166;Keine Klasse ausgewählt;Nessuna classe selezionata;Aucune classe sélectionnée
167;Keine Daten aus dieser Kalenderwoche: Ferien;Nessun dato del calendario settimanale : vacanze;Aucune donnée dans cette semaine de calendrier : vacances
168;Bitte einen üK-Titel angeben.;Pregasi indicare un titolo al corso interaziendale;Prière d'indiquer un titre CIE
169;Bitte einen Verhaltensziele-Titel angeben.;Pregasi indicare un titolo d'obiettivo di comportamento;Prière d'indiquer un titre d'objectif de comportement
170;Bitte einen PA angeben.;Pregasi indicare un maestro di pratica;Prière d'indiquer un formateur pratique
171;Bitte eine Note angeben.;Pregasi indicare un voto scolastico;Prière d'indiquer une note
172;Bitte einen Titel angeben.;Pregasi indicare un titolo;Prière d'indiquer un titre
173;Bitte Gewichtung angeben.;Pregasi indicare un valore di ponderazione;Prière d'indiquer une valeur de pondération
174;Bitte Begründung für Note kleiner/gleich 4 angeben.;Pregasi indicare una giustificazione per i voti sotto 4.0;Prière d'indiquer une justification pour les notes en-dessous de 4.0
175;Fach wurde hinzugefügt;Un ramo è stato iscritto;Une branche a été inscrite
176;Bitte einen Fachvortrag-Titel angeben.;Pregasi indicare un titolo alla presentazione del ramo;Prière d'indiquer un titre d'exposé de branche
177;Bitte einen PE-Titel angeben.;Pregasi indicare un titolo alla UP;Prière d'indiquer un titre à l'UF
178;Bitte einen Stao-Titel angeben.;Pregasi indicare un titolo al punto di situazione;Prière d'indiquer un titre au point de situation
179;Bitte Deadline angeben.;Pregasi indicare data termine;Prière d'indiquer la date limite
180;Design anpassen;Personnaliser le design;Personalizzare il design
181;Hintergrund;Arrière-plan;Sfondo
182;Schrift;Police de caractère;Tipografia
183;Links;Lien;Legame
184;Beste Grüsse;Meilleures salutations;Cordiali saluti
185;Hallo Anwender;Salut utilisateur;Ciao utilizzatore
186;Hallo;Salut;Ciao
187;Du hast bisher nichts eingetragen.;Vous n'avez encore rien saisi;Non ha ancora inserito niente
188;Ps.: Du kannst direkt auf diese E-Mail antworten um mit dem betroffenen Mitarbeitenden/Absender in Kontakt zu treten.;PS : Vous pouvez répondre directement à cet e-mail pour entrer en contact avec le collaborateur/expéditeur concerné;PS : Può rispondere direttamente a questa mail per entrare in contatto con il collaboratore/mittente interessato
189;Zurücksetzen;Remise à zéro;Reset/azzerare
190;Lernende Informatik;Apprendista informatica;Apprenti Informatique
191;Lernende KV Versicherung/D&A;Apprendista impiegato di commercio - assicurazioni private;Apprenti employé de commerce - assurances privées
192;Lernende KV Bank;Apprendista impiegato di commercio - banca;Apprenti employé de commerce - banque
193;Praxisausbildner/in;Maestro di pratica;Formateur pratique
194;Nachwuchsentwicklung;Sviluppo giovani leve;Développement de la relève
195;Bitte Fach-Typ angeben;Pregasi d'indicare il tipo di compartimento;Prière d'indiquer le type de compartiment
196;Bitte Fach angeben;Pregasi d'indicare il soggetto;Prière d'indiquer le sujet
197;Bitte Semester angeben;Pregasi d'indicare il semestre;Prière d'indiquer le semestre
198;Neuer Malus hinzugefügt;Nuovo Malus aggiunto;Nouveau malus ajouté
199;Du hast einen Malus erhalten! Dieser wird in der Lohnberechnung berücksichtigt und ist für dich unter Leistungslohn ersichtlich.<br/><br/>Malus-Gewichtung: <b>{weigth}</b> %<br/>Begründung:<br/>{reason}<br/>;Ha ricevuto un malus! Questo viene preso in considerazione nel calcolo del salario ed è visibile per lei  sotto Stipendi Incentive.<br/><br/>Malus-Gewichtung: <b>{weigth}</b> %<br/>Begründung:<br/>{reason}<br/>;Vous avez reçu un malus ! Ceci est pris en compte dans le calcul du salaire et est visible pour vous sous Salaire au rendement.<br/><br/>Malus-Gewichtung: <b>{weigth}</b> %<br/>Begründung:<br/>{reason}<br/>
200;Malus gelöscht;Malus cancellato;Malus supprimé
201;Ein Malus wurde aus deinem Profil entfernt und entsprechend in der Lohnberechnung angepasst.;Un Malus è stato cancellato del suo profilo. Il calcolo dello stipendio è corretto di conseguenza.;Un malus a été supprimé de votre profil. Le calcul de votre salaire est corrigé en conséquence.
202;{firstname} {lastname} hat eine ungenügende Note;{firstname} {lastname} ha un voto scolastico insufficiente;{firstname} {lastname}  a une note insatisfaisante
203;Der/die Benutzer/in {firstname} {lastname} ({bkey}) hat soeben eine ungenügende Note mit dem Titel {gradeTitle} eingetragen.<br/><br/>Note: {grade} (Gewichtung: {gradeWeight} %)<br/>Begründung/Erklärung: <br/> {gradeReason};L'utilizzatore {firstname} {lastname} ({bkey}) ha inserito un voto scolastico insufficiente con la voce {gradeTitle} <br/><br/>Note: {grade} (Gewichtung: {gradeWeight} %)<br/>Begründung/Erklärung: <br/> {gradeReason};L'utilisateur {firstname} {lastname} ({bkey}) vient de saisir une note insuffisante avec le titre <br/><br/>Note: {grade} (Gewichtung: {gradeWeight} %)<br/>Begründung/Erklärung: <br/> {gradeReason}
204;Notenschnitt wurde angepasst;La media dei voti scolastici è stata adattata;La moyenne des notes scolaires a été adaptée
205;Dein Notenschnitt für das Fach {subjectName} wurde gerade durch das NWE angepasst. Dein neuer Notenschnitt für dieses Fach ist {newGrade}.;La sua media dei voti scolastici  del ramo {subjectName} è stata adattata dalle Risorse Umane. La sua nuova media per questo ramo è di {newGrade}.;Votre moyenne pour la branche {subjectName} a été ajustée par les RH. Votre nouvelle moyenne pour cette branche est de {newGrade}.
206;{firstname} {lastname} hat eine ungenügende Note gelöscht.;{firstname} {lastname} ha cancellato un voto scolastico insufficiente.;{firstname} {lastname} a supprimé une note insuffisante.
207;Der/die Benutzer/in {firstname} {lastname} ({bkey}) hat soeben eine ungenügende Note gelöscht<br/><br/>Titel: {gradeTitle}<br/>Note: {grade} (Gewichtung: {gradeWeight} %)<br/>Begründung/Erklärung: <br/> {gradeReason};L'utilizzatore {firstname} {lastname} ({bkey}) ha cancellato un voto scolastico insufficiente<br/><br/>Titel: {gradeTitle}<br/>Note: {grade} (Gewichtung: {gradeWeight} %)<br/>Begründung/Erklärung: <br/> {gradeReason};L'utilisateur {firstname} {lastname} ({bkey}) vient de supprimer une note insuffisante<br/><br/>Note: {grade} (Gewichtung: {gradeWeight} %)<br/>Begründung/Erklärung: <br/> {gradeReason}
208;Verhaltensziele - Eintrag gelöscht;Obiettivi comportamentali - entrata cancellata;Objectifs comportementaux - entrée supprimée
209;Der Eintrag zu {title} in den Verhaltenszielen wurde gerade von der NWE entfernt.<br/><br/>Begründung:<br/>{reason};La voce {title} degli obiettivi comportamentali è stata cancellata dalle Risorse Umane.<br/><br/>Begründung:<br/>{reason};L'entrée {title} des objectifs comportementaux a été supprimée par les RH.<br/><br/>Begründung:<br/>{reason}
210;Verhaltensziele - Eintrag beanstandet;Obiettivi comportamentali - entrata respinta;Objectifs comportementaux - entrée rejetée
211;Der Eintrag zu {title} in den Verhaltenszielen wurde gerade beanstandet.<br/><br/>Begründung:<br/> {reason};La voce {title} degli obiettivi comportamentali è stata respinta.<br/><br/>Begründung:<br/>{reason};L'entrée {title} des objectifs comportementaux a été rejetée.<br/><br/>Begründung:<br/>{reason}
212;Verhaltensziele - neuer Eintrag;Obiettivi comportamentali - nuova voce;Obiettivi comportamentali - nouvelle entrée
213;In den Verhaltenszielen wurde soeben ein neuer Eintrag von {firstname} {lastname} erfasst:<br/><br/>Stage: {stageName}<br/>Punktzahl: {stagePoints}<br/>;La nuova voceIn den Verhaltenszielen wurde soeben ein neuer Eintrag von {firstname} {lastname} erfasst:<br/><br/>Stage: {stageName}<br/>Punktzahl: {stagePoints}<br/>;
214;Fachvortrag - Eintrag gelöscht;Ramo scolastico - voce cancellata;Branche scolaire - entrée supprimée
215;Der Eintrag zum Fachvortrag {title} wurde gerade von der NWE entfernt.<br/><br/>Begründung:<br/>{reason};La voce del ramo scolastico {title} è stata cancellata dalle Risorse Umane.<br/><br/>Begründung:<br/>{reason};L'entrée de la branche scolaire {title} a été supprimée par les RH.<br/><br/>Begründung:<br/>{reason}
216;Fachvortrag - Eintrag beanstandet;Ramo scolastico - voce respinta;Branche scolaire - entrée rejetée
217;Der Eintrag zum Fachvortrag {title} wurde gerade beanstandet.<br/><br/>Begründung:<br/> {reason};La voce del ramo scolastico {title} è stata respinta.<br/><br/>Begründung:<br/>{reason};L'entrée de la branche scolaire {title} a été rejetée.<br/><br/>Begründung:<br/>{reason}
218;Fachvortrag - Neuer Eintrag;Ramo scolastico - nuova voce;Branche scolaire - nouvelle entrée
219;In den Fachvorträgen wurde soeben ein neuer Eintrag von {firstname} {lastname} erfasst:<br/><br/>Fachvortrag-Titel: {title}<br/>Punktzahl: {points}<br/>;Una nuova voce dei rami scolastici è stata inserita da parte di {firstname} {lastname}:<br/><br/>Fachvortrag-Titel: {title}<br/>Punktzahl: {points}<br/>;Une nouvelle entrée des branches scolaires a été saisies par {firstname} {lastname} erfasst:<br/><br/>Fachvortrag-Titel: {title}<br/>Punktzahl: {points}<br/>
220;ALS - Eintrag gelöscht;SAL - voce cancellata;STA - entrée effacée
221;Der Eintrag zur ALS {title} wurde gerade von der NWE entfernt.<br/><br/>Begründung:<br/>{reason};La voce per la SAL {title} è stata cancellata dalle Risorse Umane.<br/><br/>Begründung:<br/>{reason};L'entrée de la STA {title} a été supprimée par les RH.<br/><br/>Begründung:<br/>{reason}
222;ALS - Eintrag beanstandet;SAL - voce respinta;STA - entrée rejetée
223;Der Eintrag zur ALS {title} wurde gerade beanstandet.<br/><br/>Begründung:<br/> {reason};La voce della SAL {title} è stata respinta.<br/><br/>Begründung:<br/>{reason};L'entrée de la STA {title} a été rejetée.<br/><br/>Begründung:<br/>{reason}
224;ALS - neuer Eintrag;SAL - nuova voce;SAL - nouvelle entrée
225;Es wurde soeben ein neuer ALS Eintrag von {firstname} {lastname} erfasst:<br/><br/>ALS-Titel: {title}<br/>Punktzahl: {points}<br/>;Una nuova SAL è stara registrata da {firstname} {lastname}:<br/><br/>ALS-Titel: {title}<br/>Punktzahl: {points}<br/>;Une nouvelle STA a été enregistrée par {firstname} {lastname} :<br/><br/>ALS-Titel: {title}<br/>Punktzahl: {points}<br/>
226;PE - Eintrag gelöscht;UP - voce cancellata;UF - entrée effacée
227;Der Eintrag zur PE {title} wurde gerade von der NWE entfernt.<br/><br/>Begründung:<br/>{reason};La voce per l'UP {title} è stata cancellata dalle Risorse Umane.<br/><br/>Begründung:<br/>{reason};L'entrée de l'UF {title} a été supprimée par les RH.<br/><br/>Begründung:<br/>{reason}
228;PE - Eintrag beanstandet;UP - voce respinta;UF - entrée rejetée
229;Der Eintrag zur PE {title} wurde gerade beanstandet.<br/><br/>Begründung:<br/> {reason};La voce dell'UP {title} è stata respinta.<br/><br/>Begründung:<br/>{reason};L'entrée de l'UF {title} a été rejetée.<br/><br/>Begründung:<br/>{reason}
230;PE - neuer Eintrag;UP - nuova voce;UF - nouvelle entrée
231;Es wurde soeben ein neuer PE Eintrag von {firstname} {lastname} erfasst:<br/><br/>PE-Titel: {title}<br/>Punktzahl: {points}<br/>;Una nuova UP è stara registrata da {firstname} {lastname}:<br/><br/>ALS-Titel: {title}<br/>Punktzahl: {points}<br/>;Une nouvelle UF a été enregistrée par {firstname} {lastname} :<br/><br/>ALS-Titel: {title}<br/>Punktzahl: {points}<br/>
232;ÜK - Eintrag gelöscht;CiA - voce cancellata;CiE - entrée effacée
233;Der Eintrag zum üK {title} wurde gerade von der NWE entfernt.<br/><br/>Begründung:<br/>{reason};La voce per il CiA {title} è stata cancellata dalle Risorse Umane.<br/><br/>Begründung:<br/>{reason};L'entrée du CiE {title} a été supprimée par les RH.<br/><br/>Begründung:<br/>{reason}
234;ÜK - Eintrag beanstandet;CiA - voce respinta;CiE - entrée rejetée
235;Der Eintrag zum üK {title} wurde gerade beanstandet.<br/><br/>Begründung:<br/> {reason};La voce per il CiA {title} è stata cancellata dalle Risorse Umane.<br/><br/>Begründung:<br/>{reason};L'entrée du CiE {title} a été supprimée par les RH.<br/><br/>Begründung:<br/>{reason}
236;ÜK - neuer Eintrag;CiA - nuova voce;CiE - nouvelle entrée
237;Es wurde soeben ein neuer üK Eintrag von {firstname} {lastname} erfasst:<br/><br/>üK-Titel: {title}<br/>Note: {points}<br/>;Un nuovo CiA è stato registrato da {firstname} {lastname}:<br/><br/>ALS-Titel: {title}<br/>Punktzahl: {points}<br/>;Un nouveau CiE a été enregistré par {firstname} {lastname} :<br/><br/>ALS-Titel: {title}<br/>Punktzahl: {points}<br/>
238;Stao - Eintrag gelöscht;Punto di situazione - voce cancellata;Point de situation- entrée effacée
239;Der Eintrag zur Stao {title} wurde gerade von der NWE entfernt.<br/><br/>Begründung:<br/>{reason};La voce per il punto di situazione {title} è stata cancellata dalle Risorse Umane.<br/><br/>Begründung:<br/>{reason};L'entrée du point de situation {title} a été supprimée par les RH.<br/><br/>Begründung:<br/>{reason}
240;Stao - Eintrag beanstandet;Punto di situazione - voce respinta;Point de situation - entrée rejetée
241;Der Eintrag zur Stao {title} wurde gerade beanstandet.<br/><br/>Begründung:<br/> {reason};La voce per il punto di situazione {title} è stata cancellata dalle Risorse Umane.<br/><br/>Begründung:<br/>{reason};L'entrée du point de situation {title} a été supprimée par les RH.<br/><br/>Begründung:<br/>{reason}
242;Stao - neuer Eintrag;Punto di situazione - nuova voce;Point de situation - nouvelle entrée
243;Es wurde soeben ein neuer Stao Eintrag von {firstname} {lastname} erfasst:<br/><br/>Stao-Titel: {title}<br/>Punktzahl (in Prozent): {points} %<br/>;Un nuovo punto di situazione è stato registrato da {firstname} {lastname}:<br/><br/>ALS-Titel: {title}<br/>Punktzahl: {points}<br/>;Un nouveau point de situation a été enregistré par {firstname} {lastname} :<br/><br/>ALS-Titel: {title}<br/>Punktzahl: {points}<br/>
244;Diese Funktion ist nicht mit deinem Browser kompatiebel;;
245;Lade dir jetzt;;
246;herunter, um die Funktionen dieser Webseite vollständig zu nutzen.;;
247;Achtung: Addiere die Punktzahlen von Betrieb und Prüfungsexperte zusammen, um daraus einen Eintrag zu erstellen.;;
248;Kein Malus vorhanden;;
249;Deine Statistiken;;
250;Übersetzungen;;
251;Inhalt;;
252;Die Änderungen werden erst beim nächsten Login angewendet!;;
253;Reglement;;
254;Speichern;;
