118;Menüpunkt wurde hinzugefügt;L'indice è stato aggiunto;Index du menu a été ajouté
119;Zeit;Tempo;Temps
120;Raum;Sala;Salle
121;Lehrer;Insegnante;Enseignant-e
122;Termin löschen;Cancellare colloquio;Effacer rendez-vous
123;Keine Einträge;Nessuna iscrizione;Aucune inscription
124;Überbetriebliche-Kurse;Corsi interaziendali;Cours interentreprises
125;ÜK-Titel;Titolo dei corsi interaziendali;Titre des cours interentreprises
126;Leistung Informatik;Prestazioni informatiche;Prestations informatique
127;Notenschnitt Informatik-Module und ÜKs;Media dei voti dei moduli informatici e corsi interaziendali;Moyenne des notes Module Informatique et CIE
128;Fachvorträge;Rami presentati;Branches exposées
129;Leistung Schule;Prestazione scuola;Prestations école
130;Notenschnitt Schulfächer;Media dei voti rami scolastici;Moyenne des notes branches scolaires
131;Verhalten Betrieb;Comportamento in azienda;Comportement en entreprise
132;Leistungslohn anhand aktueller Werte;Salario alla performance secondo i valori attuali;Salaire à la performance selon les valeurs actuelles
133;Daten Semester;Voti del semestre;Notes du semestre
135;Leistung Betrieb;Performance in azienda;Performance en entreprise
136;Keine Benutzer-ID vorhanden;Nessun utente-ID disponibile;Aucun utilisateur-ID disponible
137;Sie haben keinen Zugriff auf diese Funktionen;Nessun accesso alle funzioni;Aucun accès à ces fonctions
138;Sprache wurde angepasst;La lingua è stata adattata;La langue a été adaptée
139;Sprache anpassen;Adattare lingua;Adapter langue
140;Deutsch;Tedesco;Allemand
141;Italienisch;Italiano;Italien
142;Französisch;Francese;Français
143;Ändern;Modificare;Modifier
144;Neuer Termin;Nuovo colloquio;Nouveau rendez-vous
145;Sie haben keine Berechtigungen zu diesem Modul;Nessuna autorizzazione per questo modulo;Aucune autorisation pour ce module
146;Bitte eine Begründung angeben;Pregasi aggiungere giustificazione;Veuillez ajouter une justification
147;Beanstandung abgeschickt;Reclamazione inviata;Réclamation envoyée
148;Löschen bestätigen;Confermare la cancellazione;Confirmer la suppression
149;Beanstandung abgeschickt & Eintrag gelöscht;Reclamazione inviata & Iscrizione cancellata;Réclamation envoyée & Inscription supprimée
150;Bitte ein Semester angeben;Pregasi indicare il semestre;Prière d'indiquer un semestre
151;Bitte einen ALS-Titel angeben;Pregasi indicare il titolo della SAL;Prière d'indiquer un Titre-STA
152;Bitte eine Punktzahl angeben;Pregasi indicare il punteggio;Prière d'indiquer le nombre de points
153;Der B-Key muss aus 7 Zeichen bestehen;Il B-Key deve comprendere 7 caratteri;Le B-Key doit comprendre 7 caractères
154;Bitte Gruppe auswählen;Pregasi scegliere un gruppo;Veuillez choisir un groupe
155;Seite enthält keinen gültigen Pfad;La pagina non contiene nessun accesso valido;La page ne contient aucun chemin d'accès valide
156;Seite wurde noch nicht verlinkt;Un legame verso la pagina non'è stato ancora creato;Un lien vers la page n'a pas encore été créé
157;Fehler: Keine/Leere Antwort erhalten;Errore : nessuna risposta/risposta vuota;Erreur: Aucune réponse/réponse vide
158;Fehler: Semester konnten nicht gefunden werden;Errore : il semestre non è stato trovato;Erreur:le semestre n'a pas pu être trouvé
159;Bitte einen Malus-Titel angeben;Pregasi indicare un titolo di Malus;Prière d'indiquer un titre de Malus
160;Bitte eine Gewichtung angeben;Pregasi indicare un valore di ponderazione;Prière d'indiquer une valeur de pondération
161;Kein Eintrag angegeben;Nessuna iscrizione;Aucune inscription
162;Bist du dir sicher? Dabei werden alle Noten gelöscht;Sicuro? Tutti i dati verranno cancellati;Sûr ? Toutes les notes seront effacées
163;Kein Fach angegeben;Nessun ramo indicato;Aucune branche indiquée
164;Klasse speichern;Registrare classe;Sauvegarder classe
165;Klasse gespeichert;Classe registrata;Classe sauvegardée
166;Keine Klasse ausgewählt;Nessuna classe selezionata;Aucune classe sélectionnée
167;Keine Daten aus dieser Kalenderwoche: Ferien;Nessun dato del calendario settimanale : vacanze;Aucune donnée dans cette semaine de calendrier : vacances
168;Bitte einen ÜK-Titel angeben;Pregasi indicare un titolo al corso interaziendale;Prière d'indiquer un titre CIE
169;Bitte einen Verhaltensziele-Titel angeben;Pregasi indicare un titolo d'obiettivo di comportamento;Prière d'indiquer un titre d'objectif de comportement
170;Bitte einen PA angeben;Pregasi indicare un maestro di pratica;Prière d'indiquer un formateur pratique
171;Bitte Note angeben;Pregasi indicare un voto scolastico;Prière d'indiquer une note
172;Bitte Titel angeben;Pregasi indicare un titolo;Prière d'indiquer un titre
173;Bitte Gewichtung angeben;Pregasi indicare un valore di ponderazione;Prière d'indiquer une valeur de pondération
174;Bitte Begründung für Note unter 4.0 angeben;Pregasi indicare una giustificazione per i voti sotto 4.0;Prière d'indiquer une justification pour les notes en-dessous de 4.0
175;Fach wurde hinzugefügt;Un ramo è stato iscritto;Une branche a été inscrite
176;Bitte einen Fachvortrag-Titel angeben;Pregasi indicare un titolo alla presentazione del ramo;Prière d'indiquer un titre d'exposé de branche
177;Bitte einen PE-Titel angeben;Pregasi indicare un titolo alla UP;Prière d'indiquer un titre à l'UF
178;Bitte einen STAO-Titel angeben;Pregasi indicare un titolo al punto di situazione;Prière d'indiquer un titre au point de situation
179;Bitte Deadline angeben;;
180;Design anpassen;;
181;Hintergrund;;
182;Schrift;;
183;Links;;
184;Beste Grüsse;;
185;Hallo Anwender;;
186;Hallo;;
187;Du hast bisher nichts eingetragen;;
188;PS: Du kannst direkt auf diese E-Mail antworten um mit dem betroffenen Mitarbeiter/Absender in Kontakt zu treten.;;
189;Zurücksetzen;;
190;Lernende Informatik;Apprendista informatica;Apprenti Informatique
191;Lernende KV Versicherung;Apprendista impiegato di commercio - assicurazioni private;Apprenti employé de commerce - assurances privées
192;Lernende KV Bank;Apprendista impiegato di commercio - banca;Apprenti employé de commerce - banque
193;Praxisausbildner;Maestro di pratica;Formateur pratique
194;Nachwuchsentwicklung;Sviluppo giovani leve;Développement de la relève
195;Bitte Fach-Typ angeben;;
196;Bitte Fach angeben;;
197;Bitte Semester angeben;;
198;Neuer Malus hinzugefügt;;
199;Du hast einen Malus erhalten! Dieser wird ab in der Lohnberechnung berücksichtigt und ist für dich unter Leistungslohn ersichtlich.<br/><br/>Malus-Gewichtung: <b>{weigth}</b> %<br/>Begründung:<br/>{reason}<br/>;;
200;Malus gelöscht;;
201;Ein Malus wurde aus deinem Profil entfernt und entsprechend in der Lohnberechnung angepasst.;;
202;{firstname} {lastname} hat eine ungenügende Note;;
203;Der benutzer {firstname} {lastname} ({bkey}) hat soeben eine ungenügende Note mit dem Titel {gradeTitle} eingetragen.<br/><br/>Note: {grade} (Gewichtung: {gradeWeight} %)<br/>Begründung/Erklärung: <br/> {gradeReason};;
204;Notenschnitt wurde angepasst;;
205;Dein Notenschnitt für das Fach {subjectName} wurde gerade durch das HR angepasst. Dein neuer Notenschnitt für dieses Fach ist {newGrade};;
206;{firstname} {lastname} hat eine ungenügende Note gelöscht;;
207;Der benutzer {firstname} {lastname} ({bkey}) hat soeben eine ungenügende Note gelöscht<br/><br/>Titel: {gradeTitle}<br/>Note: {grade} (Gewichtung: {gradeWeight} %)<br/>Begründung/Erklärung: <br/> {gradeReason};;
208;Verhaltensziele - Eintrag gelöscht;;
209;Der Eintrag zu {title} in den Verhaltenszielen wurde gerade vom HR entfernt.<br/><br/>Begründung:<br/>{reason};;
210;Verhaltensziele - Eintrag beanstandet;;
211;Der Eintrag zu {title} in den Verhaltenszielen wurde gerade Beanstandet.<br/><br/>Begründung:<br/> {reason};;
212;Verhaltensziele - Neuer Eintrag;;
213;In den Verhaltenszielen wurde soeben ein neuer Eintrag von {firstname} {lastname} erfasst:<br/><br/>Stage: {stageName}<br/>Punktzahl: {stagePoints}<br/>;;
214;Fachvortrag - Eintrag gelöscht;;
215;Der Eintrag zum Fachvortrag {title} wurde gerade vom HR entfernt.<br/><br/>Begründung:<br/>{reason};;
216;Fachvortrag - Eintrag beanstandet;;
217;Der Eintrag zum Fachvortrag {title} wurde gerade beanstandet.<br/><br/>Begründung:<br/> {reason};;
218;Fachvortrag - Neuer Eintrag;;
219;In den Fachvorträgen wurde soeben ein neuer Eintrag von {firstname} {lastname} erfasst:<br/><br/>Fachvortrag-Titel: {title}<br/>Punktzahl: {points}<br/>;;
220;ALS - Eintrag gelöscht;;
221;Der Eintrag zur ALS {title} wurde gerade vom HR entfernt.<br/><br/>Begründung:<br/>{reason};;
222;ALS - Eintrag beanstandet;;
223;Der Eintrag zur ALS {title} wurde gerade beanstandet.<br/><br/>Begründung:<br/> {reason};;
224;ALS - Neuer Eintrag;;
225;Es wurde soeben ein neuer ALS Eintrag von {firstname} {lastname} erfasst:<br/><br/>ALS-Titel: {title}<br/>Punktzahl: {points}<br/>;;
226;PE - Eintrag gelöscht;;
227;Der Eintrag zur PE {title} wurde gerade vom HR entfernt.<br/><br/>Begründung:<br/>{reason};;
228;PE - Eintrag beanstandet;;
229;Der Eintrag zur PE {title} wurde gerade beanstandet.<br/><br/>Begründung:<br/> {reason};;
230;PE - Neuer Eintrag;;
231;Es wurde soeben ein neuer PE Eintrag von {firstname} {lastname} erfasst:<br/><br/>PE-Titel: {title}<br/>Punktzahl: {points}<br/>;;
232;ÜK - Eintrag gelöscht;;
233;Der Eintrag zum ÜK {title} wurde gerade vom HR entfernt.<br/><br/>Begründung:<br/>{reason};;
234;ÜK - Eintrag beanstandet;;
235;Der Eintrag zum ÜK {title} wurde gerade beanstandet.<br/><br/>Begründung:<br/> {reason};;
236;ÜK - Neuer Eintrag;;
237;Es wurde soeben ein neuer ÜK Eintrag von {firstname} {lastname} erfasst:<br/><br/>ÜK-Titel: {title}<br/>Note: {points}<br/>;;
238;STAO - Eintrag gelöscht;;
239;Der Eintrag zur STAO {title} wurde gerade vom HR entfernt.<br/><br/>Begründung:<br/>{reason};;
240;STAO - Eintrag beanstandet;;
241;Der Eintrag zur STAO {title} wurde gerade beanstandet.<br/><br/>Begründung:<br/> {reason};;
242;STAO - Neuer Eintrag;;
243;Es wurde soeben ein neuer STAO Eintrag von {firstname} {lastname} erfasst:<br/><br/>STAO-Titel: {title}<br/>Punktzahl (in Prozent): {points} %<br/>;;
244;Diese Funktion ist nicht mit deinem Browser kompatiebel;;
245;Lade dir jetzt;;
246;herunter, um die Funktionen dieser Webseite vollständig zu nutzen.;;
247;Achtung: Addiere die Punktzahlen von Betrieb und Prüfungsexperte zusammen, um daraus einen Eintrag zu erstellen.;;
248;Kein Malus vorhanden;;
249;Deine Statistiken;;
250;Übersetzungen;;
251;Inhalt;;
252;Die Änderungen werden erst beim nächsten Login angewendet!;;
253;Reglement;;
254;Speichern;;
